Pokemon,Obtainability Method,Location/Details,Level/Requirement
SLOWPOKE,Wild - Fishing,Viridian City,Lv 3-6
SLOWPOKE,Wild - Fishing,Viridian City,Lv 4-6
SLOWPOKE,Wild - Fishing,Viridian City,Lv 5-6
SLOWPOKE,Wild - Fishing,Cerulean City,Lv 25-35
SLOWPOKE,Wild - Fishing,Vermilion City,Lv 25-35
SLOWPOKE,Wild - Surfing,Celadon City,Lv 5-10
SLOWPOKE,Wild - Surfing,Celadon City,Lv 10-20
SLOWPOKE,Wild - Surfing,Celadon City,Lv 20-30
SLOWPOKE,Wild - Surfing,Celadon City,Lv 30-40
SLOWPOKE,Wild - Surfing,Fuchsia City,Lv 20-25
SLOWPOKE,Wild - Surfing,Fuchsia City,Lv 20-25
SLOWPOKE,Wild - Surfing,Fuchsia City,Lv 25-30
SLOWPOKE,Wild - Surfing,Fuchsia City,Lv 30-35
SLOWPOKE,Wild - Surfing,Fuchsia City,Lv 35-40
SLOWPOKE,Wild - Fishing,Fuchsia City,Lv 15-25
SLOWPOKE,Wild - Fishing,Fuchsia City,Lv 25-35
SLOWPOKE,Wild - Fishing,Cinnabar Island,Lv 25-35
SLOWPOKE,Wild - Fishing,One Island,Lv 25-35
SLOWPOKE,Wild - Surfing,Four Island,Lv 5-35
SLOWPOKE,Wild - Fishing,Four Island,Lv 15-25
SLOWPOKE,Wild - Fishing,Four Island,Lv 25-35
SLOWPOKE,Wild - Fishing,Five Island,Lv 25-35
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 20
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 34
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 36
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 18
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 36
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 18
SLUGMA,Wild - Rock Smash,Mt Ember Ruby Path B3F,Lv 15-25
SLUGMA,Wild - Rock Smash,Mt Ember Ruby Path B3F,Lv 25-35
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 20
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 34
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 36
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 18
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 36
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B3F,Lv 18
SLUGMA,Wild - Rock Smash,Mt Ember Ruby Path B3F,Lv 15-25
SLUGMA,Wild - Rock Smash,Mt Ember Ruby Path B3F,Lv 25-35
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 32
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B1F Stairs,Lv 22
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 24
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 26
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 28
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 30
SLUGMA,Wild - Walking/Grass,Mt Ember Ruby Path B2F Stairs,Lv 30
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
SMEARGLE,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
SNEASEL,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 30
SNEASEL,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 30
SNORLAX,Static Encounter,Route 12 or Route 16,Lv. 30; wake with Poke Flute; two available
SPEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 32
SPEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 30
SPEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 30
SPEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 32
SPEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 30
SPEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 32
SPEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 31
SPEAROW,Wild - Walking/Grass,Two Island Cape Brink,Lv 31
SPEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 44
SPEAROW,Wild - Walking/Grass,Six Island Ruin Valley,Lv 44
SPEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 44
SPEAROW,Wild - Walking/Grass,Route1,Lv 3
SPEAROW,Wild - Walking/Grass,Route1,Lv 4
SPEAROW,Wild - Walking/Grass,Route2,Lv 5
SPEAROW,Wild - Walking/Grass,Route3,Lv 6
SPEAROW,Wild - Walking/Grass,Route3,Lv 7
SPEAROW,Wild - Walking/Grass,Route3,Lv 8
SPEAROW,Wild - Walking/Grass,Route4,Lv 10
SPEAROW,Wild - Walking/Grass,Route4,Lv 8
SPEAROW,Wild - Walking/Grass,Route4,Lv 12
SPEAROW,Wild - Walking/Grass,Route9,Lv 16
SPEAROW,Wild - Walking/Grass,Route9,Lv 13
SPEAROW,Wild - Walking/Grass,Route9,Lv 17
SPEAROW,Wild - Walking/Grass,Route10,Lv 16
SPEAROW,Wild - Walking/Grass,Route10,Lv 13
SPEAROW,Wild - Walking/Grass,Route10,Lv 17
SPEAROW,Wild - Walking/Grass,Route11,Lv 15
SPEAROW,Wild - Walking/Grass,Route11,Lv 13
SPEAROW,Wild - Walking/Grass,Route11,Lv 17
SPEAROW,Wild - Walking/Grass,Route16,Lv 20
SPEAROW,Wild - Walking/Grass,Route16,Lv 22
SPEAROW,Wild - Walking/Grass,Route17,Lv 20
SPEAROW,Wild - Walking/Grass,Route17,Lv 22
SPEAROW,Wild - Walking/Grass,Route18,Lv 20
SPEAROW,Wild - Walking/Grass,Route18,Lv 22
SPEAROW,Wild - Walking/Grass,Route22,Lv 3
SPEAROW,Wild - Walking/Grass,Route22,Lv 5
SPEAROW,Wild - Walking/Grass,Route23,Lv 34
SPEAROW,Wild - Walking/Grass,Route23,Lv 32
SPEAROW,Wild - Walking/Grass,Route23,Lv 32
SPEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 32
SPEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 32
SPEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 30
SPEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 32
SPEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 31
SPEAROW,Wild - Walking/Grass,Two Island Cape Brink,Lv 31
SPEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 44
SPEAROW,Wild - Walking/Grass,Six Island Ruin Valley,Lv 44
SPEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 44
SPEAROW,Wild - Walking/Grass,Route3,Lv 6
SPEAROW,Wild - Walking/Grass,Route3,Lv 7
SPEAROW,Wild - Walking/Grass,Route3,Lv 8
SPEAROW,Wild - Walking/Grass,Route4,Lv 10
SPEAROW,Wild - Walking/Grass,Route4,Lv 8
SPEAROW,Wild - Walking/Grass,Route4,Lv 12
SPEAROW,Wild - Walking/Grass,Route9,Lv 16
SPEAROW,Wild - Walking/Grass,Route9,Lv 13
SPEAROW,Wild - Walking/Grass,Route9,Lv 17
SPEAROW,Wild - Walking/Grass,Route10,Lv 16
SPEAROW,Wild - Walking/Grass,Route10,Lv 13
SPEAROW,Wild - Walking/Grass,Route10,Lv 17
SPEAROW,Wild - Walking/Grass,Route11,Lv 15
SPEAROW,Wild - Walking/Grass,Route11,Lv 13
SPEAROW,Wild - Walking/Grass,Route11,Lv 17
SPEAROW,Wild - Walking/Grass,Route16,Lv 20
SPEAROW,Wild - Walking/Grass,Route16,Lv 22
SPEAROW,Wild - Walking/Grass,Route17,Lv 20
SPEAROW,Wild - Walking/Grass,Route17,Lv 22
SPEAROW,Wild - Walking/Grass,Route18,Lv 20
SPEAROW,Wild - Walking/Grass,Route18,Lv 22
SPEAROW,Wild - Walking/Grass,Route22,Lv 3
SPEAROW,Wild - Walking/Grass,Route22,Lv 5
SPEAROW,Wild - Walking/Grass,Route23,Lv 34
SPEAROW,Wild - Walking/Grass,Route23,Lv 32
SPEAROW,Wild - Walking/Grass,Route23,Lv 32
SPINARAK,Wild - Walking/Grass,Six Island Pattern Bush,Lv 9
SPINARAK,Wild - Walking/Grass,Six Island Pattern Bush,Lv 14
SPINARAK,Wild - Walking/Grass,Six Island Pattern Bush,Lv 9
SPINARAK,Wild - Walking/Grass,Six Island Pattern Bush,Lv 14
SQUIRTLE,Wild - Walking/Grass,Route6,Lv 12
SQUIRTLE,Starter,Pallet Town (Professor Oak),Choose as starter Pokemon
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
STANTLER,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
STARMIE,Wild - Fishing,Ssanne Exterior,Lv 30-35
STARMIE,Evolution,From Staryu + Water Stone,Use Stone
STARYU,Wild - Fishing,Ssanne Exterior,Lv 15-25
STARYU,Wild - Fishing,Four Island Icefall Cave Back,Lv 15-25
STARYU,Wild - Fishing,Pallet Town,Lv 4-6
STARYU,Wild - Fishing,Vermilion City,Lv 15-25
STARYU,Wild - Fishing,Cinnabar Island,Lv 15-25
STARYU,Wild - Fishing,One Island,Lv 15-25
STARYU,Wild - Fishing,Five Island,Lv 15-25
STEELIX,Evolution,From Onix + Metal Coat,Use Stone
SUICUNE,Legendary Roaming,Kanto (Roaming),Lv. 50; roams after choosing Charmander; use Repels + Route encounter
SUNFLORA,Evolution,From Sunkern + Sun Stone,Use Stone
SWALOT,Evolution,From Gulpin,Level 26
SWAMPERT,Evolution,From Marshtomp,Level 36
SWELLOW,Evolution,From Taillow,Level 22
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 25
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 27
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 29
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 31
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 25
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 27
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 29
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 31
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 25
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 27
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 29
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 31
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 25
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 27
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 29
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 31
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 23
SWINUB,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 23
TANGELA,Wild - Walking/Grass,One Island Treasure Beach,Lv 33
TANGELA,Wild - Walking/Grass,One Island Treasure Beach,Lv 35
TANGELA,Wild - Walking/Grass,Route21 North,Lv 22
TANGELA,Wild - Walking/Grass,Route21 North,Lv 23
TANGELA,Wild - Walking/Grass,Route21 North,Lv 24
TANGELA,Wild - Walking/Grass,Route21 North,Lv 21
TANGELA,Wild - Walking/Grass,Route21 North,Lv 25
TANGELA,Wild - Walking/Grass,Route21 North,Lv 20
TANGELA,Wild - Walking/Grass,Route21 North,Lv 19
TANGELA,Wild - Walking/Grass,Route21 North,Lv 26
TANGELA,Wild - Walking/Grass,Route21 North,Lv 18
TANGELA,Wild - Walking/Grass,Route21 North,Lv 27
TANGELA,Wild - Walking/Grass,Route21 North,Lv 17
TANGELA,Wild - Walking/Grass,Route21 North,Lv 28
TANGELA,Wild - Walking/Grass,Route21 South,Lv 22
TANGELA,Wild - Walking/Grass,Route21 South,Lv 23
TANGELA,Wild - Walking/Grass,Route21 South,Lv 24
TANGELA,Wild - Walking/Grass,Route21 South,Lv 21
TANGELA,Wild - Walking/Grass,Route21 South,Lv 25
TANGELA,Wild - Walking/Grass,Route21 South,Lv 20
TANGELA,Wild - Walking/Grass,Route21 South,Lv 19
TANGELA,Wild - Walking/Grass,Route21 South,Lv 26
TANGELA,Wild - Walking/Grass,Route21 South,Lv 18
TANGELA,Wild - Walking/Grass,Route21 South,Lv 27
TANGELA,Wild - Walking/Grass,Route21 South,Lv 17
TANGELA,Wild - Walking/Grass,Route21 South,Lv 28
TANGELA,Wild - Walking/Grass,One Island Treasure Beach,Lv 33
TANGELA,Wild - Walking/Grass,One Island Treasure Beach,Lv 35
TANGELA,Wild - Walking/Grass,Route21 North,Lv 22
TANGELA,Wild - Walking/Grass,Route21 North,Lv 23
TANGELA,Wild - Walking/Grass,Route21 North,Lv 24
TANGELA,Wild - Walking/Grass,Route21 North,Lv 21
TANGELA,Wild - Walking/Grass,Route21 North,Lv 25
TANGELA,Wild - Walking/Grass,Route21 North,Lv 20
TANGELA,Wild - Walking/Grass,Route21 North,Lv 19
TANGELA,Wild - Walking/Grass,Route21 North,Lv 26
TANGELA,Wild - Walking/Grass,Route21 North,Lv 18
TANGELA,Wild - Walking/Grass,Route21 North,Lv 27
TANGELA,Wild - Walking/Grass,Route21 North,Lv 17
TANGELA,Wild - Walking/Grass,Route21 North,Lv 28
TANGELA,Wild - Walking/Grass,Route21 South,Lv 22
TANGELA,Wild - Walking/Grass,Route21 South,Lv 23
TANGELA,Wild - Walking/Grass,Route21 South,Lv 24
TANGELA,Wild - Walking/Grass,Route21 South,Lv 21
TANGELA,Wild - Walking/Grass,Route21 South,Lv 25
TANGELA,Wild - Walking/Grass,Route21 South,Lv 20
TANGELA,Wild - Walking/Grass,Route21 South,Lv 19
TANGELA,Wild - Walking/Grass,Route21 South,Lv 26
TANGELA,Wild - Walking/Grass,Route21 South,Lv 18
TANGELA,Wild - Walking/Grass,Route21 South,Lv 27
TANGELA,Wild - Walking/Grass,Route21 South,Lv 17
TANGELA,Wild - Walking/Grass,Route21 South,Lv 28
TANGELA,In-Game Trade,Cinnabar Island,Trade Venonat for Tangela (nicknamed CRINKLES)
TAUROS,Wild - Walking/Grass,Safari Zone North,Lv 28
TAUROS,Wild - Walking/Grass,Safari Zone West,Lv 25
TAUROS,Wild - Walking/Grass,Safari Zone North,Lv 28
TAUROS,Wild - Walking/Grass,Safari Zone West,Lv 25
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 24
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 28
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 18
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 20
TEDDIURSA,Wild - Walking/Grass,Six Island Altering Cave,Lv 26
TENTACOOL,Wild - Surfing,Ssanne Exterior,Lv 5-10
TENTACOOL,Wild - Surfing,Ssanne Exterior,Lv 10-20
TENTACOOL,Wild - Surfing,Ssanne Exterior,Lv 20-30
TENTACOOL,Wild - Surfing,Ssanne Exterior,Lv 30-35
TENTACOOL,Wild - Surfing,Ssanne Exterior,Lv 35-40
TENTACOOL,Wild - Surfing,Four Island Icefall Cave Back,Lv 5-20
TENTACOOL,Wild - Surfing,Four Island Icefall Cave Back,Lv 20-35
TENTACOOL,Wild - Surfing,Four Island Icefall Cave Back,Lv 35-45
TENTACOOL,Wild - Surfing,One Island Kindle Road,Lv 5-20
TENTACOOL,Wild - Surfing,One Island Kindle Road,Lv 20-35
TENTACOOL,Wild - Surfing,One Island Kindle Road,Lv 35-40
TENTACOOL,Wild - Surfing,One Island Treasure Beach,Lv 5-20
TENTACOOL,Wild - Surfing,One Island Treasure Beach,Lv 20-35
TENTACOOL,Wild - Surfing,One Island Treasure Beach,Lv 35-40
TENTACOOL,Wild - Surfing,Three Island Bond Bridge,Lv 5-20
TENTACOOL,Wild - Surfing,Three Island Bond Bridge,Lv 20-35
TENTACOOL,Wild - Surfing,Three Island Bond Bridge,Lv 35-40
TENTACOOL,Wild - Surfing,Five Island Resort Gorgeous,Lv 5-35
TENTACOOL,Wild - Surfing,Five Island Resort Gorgeous,Lv 35-40
TENTACOOL,Wild - Surfing,Five Island Water Labyrinth,Lv 5-20
TENTACOOL,Wild - Surfing,Five Island Water Labyrinth,Lv 35-40
TENTACOOL,Wild - Surfing,Five Island Meadow,Lv 5-35
TENTACOOL,Wild - Surfing,Five Island Meadow,Lv 35-40
TENTACOOL,Wild - Surfing,Five Island Memorial Pillar,Lv 5-35
TENTACOOL,Wild - Surfing,Five Island Memorial Pillar,Lv 35-40
TENTACOOL,Wild - Surfing,Six Island Outcast Island,Lv 5-20
TENTACOOL,Wild - Surfing,Six Island Outcast Island,Lv 20-35
TENTACOOL,Wild - Surfing,Six Island Outcast Island,Lv 35-40
TENTACOOL,Wild - Surfing,Six Island Green Path,Lv 5-20
TENTACOOL,Wild - Surfing,Six Island Green Path,Lv 20-35
TENTACOOL,Wild - Surfing,Six Island Green Path,Lv 35-40
TENTACOOL,Wild - Surfing,Six Island Water Path,Lv 5-20
TENTACOOL,Wild - Surfing,Six Island Water Path,Lv 20-35
TENTACOOL,Wild - Surfing,Six Island Water Path,Lv 35-40
TENTACOOL,Wild - Surfing,Seven Island Trainer Tower,Lv 5-20
TENTACOOL,Wild - Surfing,Seven Island Trainer Tower,Lv 20-35
TENTACOOL,Wild - Surfing,Seven Island Trainer Tower,Lv 35-40
TENTACOOL,Wild - Surfing,Seven Island Tanoby Ruins,Lv 5-20
TENTACOOL,Wild - Surfing,Seven Island Tanoby Ruins,Lv 20-35
TENTACOOL,Wild - Surfing,Seven Island Tanoby Ruins,Lv 35-40
TENTACOOL,Wild - Surfing,Route4,Lv 5-10
TENTACOOL,Wild - Surfing,Route4,Lv 10-20
TENTACOOL,Wild - Surfing,Route4,Lv 20-30
TENTACOOL,Wild - Surfing,Route4,Lv 30-35
